sr no. ,Distric,state,latitude,longitude,zones
495,Hoshiarpur,PUNJAB,,,orange
496,Faridkot,PUNJAB,,,orange
497,Sangrur,PUNJAB,,,orange
498,Shahid Bhagat Singh Nagar (Nawanshahr),PUNJAB,,,orange
499,Firozpur (Firojpur or Ferozepur),PUNJAB,,,orange
500,Sri Muktsar Sahib,PUNJAB,,,orange
501,Moga,PUNJAB,,,orange
502,Gurdaspur,PUNJAB,,,orange
503,Barnala,PUNJAB,,,orange
504,Rupnagar (Ropar),PUNJAB,,,green
505,Fatehgarh Sahib,PUNJAB,,,green
506,Bathinda,PUNJAB,,,green
507,Fazilka,PUNJAB,,,green
508,Jaipur,RAJASTHAN,,,red
509,Jodhpur,RAJASTHAN,,,red
510,Kota,RAJASTHAN,,,red
511,Ajmer,RAJASTHAN,,,red
512,Bharatpur,RAJASTHAN,,,red
513,Nagaur,RAJASTHAN,,,red
514,Banswara,RAJASTHAN,,,red
515,Jhalawar,RAJASTHAN,,,red
516,Tonk,RAJASTHAN,,,orange
517,Jaisalmer,RAJASTHAN,,,orange
518,Dausa,RAJASTHAN,,,orange
519,Jhunjhunu,RAJASTHAN,,,orange
520,Hanumangarh,RAJASTHAN,,,orange
521,Bhilwara,RAJASTHAN,,,orange
522,Sawai Madhopur,RAJASTHAN,,,orange
523,Chittorgarh,RAJASTHAN,,,orange
524,Dungarpur,RAJASTHAN,,,orange
525,Udaipur,RAJASTHAN,,,orange
526,Dholpur,RAJASTHAN,,,orange
527,Sikar,RAJASTHAN,,,orange
528,Alwar,RAJASTHAN,,,orange
529,Bikaner,RAJASTHAN,,,orange
530,Churu,RAJASTHAN,,,orange
531,Pali,RAJASTHAN,,,orange
532,Barmer,RAJASTHAN,,,orange
533,Karauli,RAJASTHAN,,,orange
534,Rajsamand,RAJASTHAN,,,orange
535,Baran,RAJASTHAN,,,green
536,Bundi,RAJASTHAN,,,green
537,Ganganagar,RAJASTHAN,,,green
538,Jalore,RAJASTHAN,,,green
539,Sirohi,RAJASTHAN,,,green
540,Pratapgarh,RAJASTHAN,,,green
541,North Sikkim,SIKKIM,,,green
542,East Sikkim,SIKKIM,,,green
543,South Sikkim,SIKKIM,,,green
544,West Sikkim,SIKKIM,,,green
545,Chennai,TAMIL NADU,,,red
546,Madurai,TAMIL NADU,,,red
547,Namakkal,TAMIL NADU,,,red
548,Thanjavur (Tanjore),TAMIL NADU,,,red
549,Chengalpattu,TAMIL NADU,,,red
550,Thiruvallur (Tiruvallur),TAMIL NADU,,,red
551,Tiruppur,TAMIL NADU,,,red
552,Ranipet,TAMIL NADU,,,red
553,Virudhunagar,TAMIL NADU,,,red
554,Thiruvarur (Tiruvarur),TAMIL NADU,,,red
555,Vellore,TAMIL NADU,,,red
